Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Alexis Vega,Mexico,FW,0,0,0,0,Guadalajara,Unknown,Unknown
Hirving Lozano,Mexico,FW,0,0,0,0,Napoli,Unknown,Unknown
Raul Jimenez,Mexico,FW,0,0,0,0,Wolves,Unknown,Unknown
Roberto Alvarado,Mexico,FW,0,0,0,0,Guadalajara,Unknown,Unknown
Uriel Antuna,Mexico,FW,0,0,0,0,Cruz Azul,Unknown,Unknown
Henry Martin,Mexico,FW,0,0,0,0,America,Unknown,Unknown
Rogelio Funes Mori,Mexico,FW,0,0,0,0,Monterrey,Unknown,Unknown
Kamil Grabara,Poland,GK,0,0,0,0,FC Copenhagen,Unknown,Unknown
Lukasz Skorupski,Poland,GK,0,0,0,0,Bologna,Unknown,Unknown
Wojciech Szczesny,Poland,GK,0,0,0,0,Juventus,Unknown,Unknown
Jan Bednarek,Poland,DF,0,0,0,0,Aston Villa,Unknown,Unknown
Bartosz Bereszynski,Poland,DF,0,0,0,0,Sampdoria,Unknown,Unknown
Matty Cash,Poland,DF,0,0,0,0,Aston Villa,Unknown,Unknown
Kamil Glik,Poland,DF,0,0,0,0,Benevento,Unknown,Unknown
Robert Gumny,Poland,DF,0,0,0,0,FC Augsburg,Unknown,Unknown
Artur Jedrzejczyk,Poland,DF,0,0,0,0,Legia Warsaw,Unknown,Unknown
Jakub Kiwior,Poland,DF,0,0,0,0,Spezia,Unknown,Unknown
Mateusz Wieteska,Poland,DF,0,0,0,0,Clermont,Unknown,Unknown
Nicola Zalewski,Poland,DF,0,0,0,0,Roma,Unknown,Unknown
Krystian Bielik,Poland,MF,0,0,0,0,Birmingham,Unknown,Unknown
Przemyslaw Frankowski,Poland,MF,0,0,0,0,Lens,Unknown,Unknown
Kamil Grosicki,Poland,MF,0,0,0,0,Pogon Szczecin,Unknown,Unknown
Jakub Kaminski,Poland,MF,0,0,0,0,VfL Wolfsburg,Unknown,Unknown
Grzegorz Krychowiak,Poland,MF,0,0,0,0,Al-Shabab,Unknown,Unknown
Michal Skoras,Poland,MF,0,0,0,0,Lech Poznan,Unknown,Unknown
Damian Szymanski,Poland,MF,0,0,0,0,AEK Athens,Unknown,Unknown
Sebastian Szymanski,Poland,MF,0,0,0,0,Feyenoord,Unknown,Unknown
Piotr Zielinski,Poland,MF,0,0,0,0,Napoli,Unknown,Unknown
Szymon Zurkowski,Poland,MF,0,0,0,0,Fiorentina,Unknown,Unknown
Robert Lewandowski,Poland,FW,0,0,0,0,Barcelona,Unknown,Unknown
Arkadiusz Milik,Poland,FW,0,0,0,0,Juventus,Unknown,Unknown
Krzysztof Piatek,Poland,FW,0,0,0,0,Salernitana,Unknown,Unknown
Karol Swiderski,Poland,FW,0,0,0,0,Charlotte FC,Unknown,Unknown
Alphonse Areola,France,GK,0,0,0,0,West Ham,Unknown,Unknown
Hugo Lloris,France,GK,0,0,0,0,Tottenham,Unknown,Unknown
Steve Mandanda,France,GK,0,0,0,0,Rennes,Unknown,Unknown
Theo Hernandez,France,DF,0,0,0,0,AC Milan,Unknown,Unknown
Ibrahima Konate,France,DF,0,0,0,0,Liverpool,Unknown,Unknown
Jules Kounde,France,DF,0,0,0,0,Barcelona,Unknown,Unknown
Benjamin Pavard,France,DF,0,0,0,0,Bayern Munich,Unknown,Unknown
William Saliba,France,DF,0,0,0,0,Arsenal,Unknown,Unknown
Dayot Upamencano,France,DF,0,0,0,0,Bayern Munich,Unknown,Unknown
Raphael Varane,France,DF,0,0,0,0,Manchester United,Unknown,Unknown
Axel Disasi,France,DF,0,0,0,0,Monaco,Unknown,Unknown
Eduardo Camavinga,France,MF,0,0,0,0,Real Madrid,Unknown,Unknown
Youssouf Fofana,France,MF,0,0,0,0,Monaco,Unknown,Unknown
Matteo Guendouzi,France,MF,0,0,0,0,Marseille,Unknown,Unknown
Adrien Rabiot,France,MF,0,0,0,0,Juventus,Unknown,Unknown
Aurelien Tchouameni,France,MF,0,0,0,0,Real Madrid,Unknown,Unknown
Jordan Veretout,France,MF,0,0,0,0,Marseille,Unknown,Unknown
Karim Benzema,France,FW,0,0,0,0,Real Madrid,Unknown,Unknown
Kingsley Coman,France,FW,0,0,0,0,Bayern Munich,Unknown,Unknown
Ousmane Dembele,France,FW,0,0,0,0,Barcelona,Unknown,Unknown
Olivier Giroud,France,FW,0,0,0,0,AC Milan,Unknown,Unknown
Antoine Griezmann,France,FW,0,0,0,0,Atletico Madrid,Unknown,Unknown
Kylian Mbappe,France,FW,0,0,0,0,Paris Saint-Germain,Unknown,Unknown
Randal Kolo Muani,France,FW,0,0,0,0,Eintracht Frankfurt,Unknown,Unknown
Marcus Thuram,France,FW,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Mathew Ryan,Australia,GK,0,0,0,0,FC Copenhagen,Unknown,Unknown
Andrew Redmayne,Australia,GK,0,0,0,0,Sydney FC,Unknown,Unknown
Danny Vukovic,Australia,GK,0,0,0,0,Central Coast Mariners,Unknown,Unknown
Aziz Behich,Australia,DF,0,0,0,0,Dundee United,Unknown,Unknown
Milos Degenek,Australia,DF,0,0,0,0,Columbus Crew,Unknown,Unknown
Thomas Deng,Australia,DF,0,0,0,0,Aibirex Niigata,Unknown,Unknown
Joel King,Australia,DF,0,0,0,0,Odense Boldklub,Unknown,Unknown
Nathaniel Atkinson,Australia,DF,0,0,0,0,Hearts,Unknown,Unknown
Fran Karacic,Australia,DF,0,0,0,0,Brescia,Unknown,Unknown
Harry Souttar,Australia,DF,0,0,0,0,Stoke City,Unknown,Unknown
Kye Rowles,Australia,DF,0,0,0,0,Hearts,Unknown,Unknown
Craig Goodwin,Australia,DF,0,0,0,0,Adelaide United,Unknown,Unknown
Aaron Mooy,Australia,MF,0,0,0,0,Celtic,Unknown,Unknown
Jackson Irvine,Australia,MF,0,0,0,0,St Pauli,Unknown,Unknown
Ajdin Hrustic,Australia,MF,0,0,0,0,Hellas Verona,Unknown,Unknown
Bailey Wright,Australia,MF,0,0,0,0,Sunderland,Unknown,Unknown
Cameron Devlin,Australia,MF,0,0,0,0,Hearts,Unknown,Unknown
Riley McGree,Australia,MF,0,0,0,0,Middlesbrough,Unknown,Unknown
Keanu Baccus,Australia,MF,0,0,0,0,St Mirren,Unknown,Unknown
Awer Mabil,Australia,FW,0,0,0,0,Cadiz,Unknown,Unknown
Mathew Leckie,Australia,FW,0,0,0,0,Melbourne City,Unknown,Unknown
Martin Boyle,Australia,FW,0,0,0,0,Hibernian,Unknown,Unknown
James Maclaren,Australia,FW,0,0,0,0,Melbourne City,Unknown,Unknown
Jason Cummings,Australia,FW,0,0,0,0,Central Coast Mariners,Unknown,Unknown
Mitchell Duke,Australia,FW,0,0,0,0,Fagiano Okayama,Unknown,Unknown
Garang Kuol,Australia,FW,0,0,0,0,Central Coast Mariners,Unknown,Unknown
Kasper Schmeichel,Denmark,GK,0,0,0,0,Nice,Unknown,Unknown
Oliver Christensen,Denmark,GK,0,0,0,0,Hertha Berlin,Unknown,Unknown
Frederik Ronnow,Denmark,GK,0,0,0,0,Union Berlin,Unknown,Unknown
Simon Kjaer,Denmark,DF,0,0,0,0,AC Milan,Unknown,Unknown
Joachim Andersen,Denmark,DF,0,0,0,0,Crystal Palace,Unknown,Unknown
Joakim Maehle,Denmark,DF,0,0,0,0,Atalanta,Unknown,Unknown
Andreas Christensen,Denmark,DF,0,0,0,0,Barcelona,Unknown,Unknown
Rasmus Kristensen,Denmark,DF,0,0,0,0,Leeds United,Unknown,Unknown
Jens Stryger Larsen,Denmark,DF,0,0,0,0,Trabzonspor,Unknown,Unknown
Victor Nelsson,Denmark,DF,0,0,0,0,Galatasaray,Unknown,Unknown
Daniel Wass,Denmark,DF,0,0,0,0,Brondby,Unknown,Unknown
Alexander Bah,Denmark,DF,0,0,0,0,Benfica,Unknown,Unknown
Thomas Delaney,Denmark,MF,0,0,0,0,Sevilla,Unknown,Unknown
Mathias Jensen,Denmark,MF,0,0,0,0,Brentford,Unknown,Unknown
Christian Eriksen,Denmark,MF,0,0,0,0,Manchester United,Unknown,Unknown
Pierre-Emile Hojbjerg,Denmark,MF,0,0,0,0,Tottenham,Unknown,Unknown
Robert Skov,Denmark,MF,0,0,0,0,Hoffenheim,Unknown,Unknown
Christian Norgaard,Denmark,MF,0,0,0,0,Brentford,Unknown,Unknown
Andreas Skov Olsen,Denmark,FW,0,0,0,0,Club Bruges,Unknown,Unknown
Jesper Lindstrom,Denmark,FW,0,0,0,0,Eintracht Frankfurt,Unknown,Unknown
Andreas Cornelius,Denmark,FW,0,0,0,0,Copenhagen,Unknown,Unknown
Martin Braithwaite,Denmark,FW,0,0,0,0,Espanyol,Unknown,Unknown
Kasper Dolberg,Denmark,FW,0,0,0,0,Sevilla,Unknown,Unknown
Mikkel Damsgaard,Denmark,FW,0,0,0,0,Brentford,Unknown,Unknown
Jonas Wind,Denmark,FW,0,0,0,0,VfL Wolfsburg,Unknown,Unknown
Yussuf Poulsen,Denmark,FW,0,0,0,0,RB Leipzig,Unknown,Unknown
Aymen Dahmen,Tunisia,GK,0,0,0,0,CS Sfaxien,Unknown,Unknown
Bechir Ben Said,Tunisia,GK,0,0,0,0,US Monastir,Unknown,Unknown
Mouez Hassen,Tunisia,GK,0,0,0,0,Club Africain,Unknown,Unknown
Aymen Mathlouthi,Tunisia,GK,0,0,0,0,Etoile Sahel,Unknown,Unknown
Ali Abdi,Tunisia,DF,0,0,0,0,Caen,Unknown,Unknown
Dylan Bronn,Tunisia,DF,0,0,0,0,Salernitana,Unknown,Unknown
Mohamed Drager,Tunisia,DF,0,0,0,0,FC Luzern,Unknown,Unknown
Nader Ghandri,Tunisia,DF,0,0,0,0,Club Africain,Unknown,Unknown
Bilel Ifa,Tunisia,DF,0,0,0,0,Kuwait SC,Unknown,Unknown
Wajdi Kechrida,Tunisia,DF,0,0,0,0,Atromitos,Unknown,Unknown
Ali Maaloul,Tunisia,DF,0,0,0,0,Al Ahly,Unknown,Unknown
Yassine Meriah,Tunisia,DF,0,0,0,0,Esperance,Unknown,Unknown
Montassar Talbi,Tunisia,DF,0,0,0,0,Lorient,Unknown,Unknown
Mohamed Ali Ben Romdhane,Tunisia,MF,0,0,0,0,Esperance,Unknown,Unknown
Ghaylane Chaalali,Tunisia,MF,0,0,0,0,Esperance,Unknown,Unknown
Aissa Laidouni,Tunisia,MF,0,0,0,0,Ferencvaros,Unknown,Unknown
Hannibal Mejbri,Tunisia,MF,0,0,0,0,Birmingham City,Unknown,Unknown
Ferjani Sassi,Tunisia,MF,0,0,0,0,Al Duhail,Unknown,Unknown
Elyas Skhiri,Tunisia,MF,0,0,0,0,FC Cologne,Unknown,Unknown
Anis Ben Slimane,Tunisia,FW,0,0,0,0,Brondby,Unknown,Unknown
Seifeddine Jaziri,Tunisia,FW,0,0,0,0,Zamalek,Unknown,Unknown
Issam Jebali,Tunisia,FW,0,0,0,0,Odense,Unknown,Unknown
Wahbi Khazri,Tunisia,FW,0,0,0,0,Montpellier,Unknown,Unknown
Taha Yassine Khenissi,Tunisia,FW,0,0,0,0,Kuwait SC,Unknown,Unknown
Youssef Msakni,Tunisia,FW,0,0,0,0,Al Arabi,Unknown,Unknown
Naim Sliti,Tunisia,FW,0,0,0,0,Al Ittifaq,Unknown,Unknown
Unai Simon,Spain,GK,0,0,0,0,Athletic Club,Unknown,Unknown
Robert Sanchez,Spain,GK,0,0,0,0,Brighton & Hove Albion,Unknown,Unknown
David Raya,Spain,GK,0,0,0,0,Brentford FC,Unknown,Unknown
Cesar Azpilicueta,Spain,DF,0,0,0,0,Chelsea FC,Unknown,Unknown
Dani Carvajal,Spain,DF,0,0,0,0,Real Madrid,Unknown,Unknown
Eric Garcia,Spain,DF,0,0,0,0,FC Barcelona,Unknown,Unknown
Hugo Guillamon,Spain,DF,0,0,0,0,Valencia CF,Unknown,Unknown
Pau Torres,Spain,DF,0,0,0,0,Villarreal CF,Unknown,Unknown
Aymeric Laporte,Spain,DF,0,0,0,0,Manchester City,Unknown,Unknown
Jordi Alba,Spain,DF,0,0,0,0,FC Barcelona,Unknown,Unknown
Alejandro Balde,Spain,DF,0,0,0,0,FC Barcelona,Unknown,Unknown
Sergio Busquets,Spain,MF,0,0,0,0,FC Barcelona,Unknown,Unknown
Rodri Hernandez,Spain,MF,0,0,0,0,Manchester City,Unknown,Unknown
Gavi,Spain,MF,0,0,0,0,FC Barcelona,Unknown,Unknown
Carlos Soler,Spain,MF,0,0,0,0,Paris St Germain,Unknown,Unknown
Marcos Llorente,Spain,MF,0,0,0,0,Atletico de Madrid,Unknown,Unknown
Pedri Gonzalez,Spain,MF,0,0,0,0,FC Barcelona,Unknown,Unknown
Koke Resurreccion,Spain,MF,0,0,0,0,Atletico de Madrid,Unknown,Unknown
Ferran Torres,Spain,FW,0,0,0,0,FC Barcelona,Unknown,Unknown
Nico Williams,Spain,FW,0,0,0,0,Athletic Club,Unknown,Unknown
Yeremi Pino,Spain,FW,0,0,0,0,Villarreal CF,Unknown,Unknown
Alvaro Morata,Spain,FW,0,0,0,0,Atletico de Madrid,Unknown,Unknown
Marco Asensio,Spain,FW,0,0,0,0,Real Madrid,Unknown,Unknown
Pablo Sarabia,Spain,FW,0,0,0,0,Paris St Germain,Unknown,Unknown
Dani Olmo,Spain,FW,0,0,0,0,RB Leipzig,Unknown,Unknown
Ansu Fati,Spain,FW,0,0,0,0,FC Barcelona,Unknown,Unknown
Keylor Navas,Costa Rica,GK,0,0,0,0,Paris St-Germain,Unknown,Unknown
Esteban Alvarado,Costa Rica,GK,0,0,0,0,Herediano,Unknown,Unknown
Patrick Sequeira,Costa Rica,GK,0,0,0,0,CD Lugo,Unknown,Unknown
Francisco Calvo,Costa Rica,DF,0,0,0,0,Konyaspor,Unknown,Unknown
Juan Pablo Vargas,Costa Rica,DF,0,0,0,0,Millonarios FC,Unknown,Unknown
Kendall Waston,Costa Rica,DF,0,0,0,0,Saprissa,Unknown,Unknown
Oscar Duarte,Costa Rica,DF,0,0,0,0,Al-Wehda,Unknown,Unknown
Daniel Chacon,Costa Rica,DF,0,0,0,0,Colorado Rapids,Unknown,Unknown
Keysher Fuller,Costa Rica,DF,0,0,0,0,Herediano,Unknown,Unknown
Carlos Martinez,Costa Rica,DF,0,0,0,0,San Carlos,Unknown,Unknown
Bryan Oviedo,Costa Rica,DF,0,0,0,0,Real Salt Lake,Unknown,Unknown
Ronald Matarrita,Costa Rica,DF,0,0,0,0,Cincinnati,Unknown,Unknown
Yeltsin Tejeda,Costa Rica,MF,0,0,0,0,Herediano,Unknown,Unknown
Celso Borges,Costa Rica,MF,0,0,0,0,Alajuelense,Unknown,Unknown
Youstin Salas,Costa Rica,MF,0,0,0,0,Saprissa,Unknown,Unknown
Roan Wilson,Costa Rica,MF,0,0,0,0,Grecia,Unknown,Unknown
Gerson Torres,Costa Rica,MF,0,0,0,0,Herediano,Unknown,Unknown
Douglas Lopez,Costa Rica,MF,0,0,0,0,Herediano Jewisson Bennette,Unknown,Unknown
Alvaro Zamora,Costa Rica,MF,0,0,0,0,Saprissa,Unknown,Unknown
Anthony Hernandez,Costa Rica,MF,0,0,0,0,Puntarenas FC,Unknown,Unknown
Brandon Aguilera,Costa Rica,MF,0,0,0,0,Nottingham Forest,Unknown,Unknown
Bryan Ruiz,Costa Rica,MF,0,0,0,0,Alajuelense,Unknown,Unknown
Joel Campbell,Costa Rica,FW,0,0,0,0,Leon,Unknown,Unknown
Anthony Contreras,Costa Rica,FW,0,0,0,0,Herediano Johan Venegas,Unknown,Unknown
Manuel Neuer,Germany,GK,0,0,0,0,Bayern Munich,Unknown,Unknown
Marc-Andre ter Stegen,Germany,GK,0,0,0,0,Barcelona,Unknown,Unknown
Kevin Trapp,Germany,GK,0,0,0,0,Eintracht Frankfurt,Unknown,Unknown
Matthias Ginter,Germany,DF,0,0,0,0,Freiburg,Unknown,Unknown
Antonio Ruediger,Germany,DF,0,0,0,0,Real Madrid,Unknown,Unknown
Niklas Suele,Germany,DF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Nico Schlotterbeck,Germany,DF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Thilo Kehrer,Germany,DF,0,0,0,0,West Ham United,Unknown,Unknown
David Raum,Germany,DF,0,0,0,0,RB Leipzig,Unknown,Unknown
Lukas Klostermann,Germany,DF,0,0,0,0,RB Leipzig,Unknown,Unknown
Armel Bella Kotchap,Germany,DF,0,0,0,0,Southampton,Unknown,Unknown
Christian Guenter,Germany,DF,0,0,0,0,Freiburg,Unknown,Unknown
Ilkay Gundogan,Germany,MF,0,0,0,0,Manchester City,Unknown,Unknown
Jonas Hofmann,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Leon Goretzka,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Serge Gnabry,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Leroy Sane,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Jamal Musiala,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Joshua Kimmich,Germany,MF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Thomas Mueller,Germany,MF,0,0,0,0,all Bayern Munich,Unknown,Unknown
Julian Brandt,Germany,MF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Mario Goetze,Germany,MF,0,0,0,0,Eintracht Frankfurt,Unknown,Unknown
Kai Havertz,Germany,FW,0,0,0,0,Chelsea,Unknown,Unknown
Youssoufa Moukoko,Germany,FW,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Niklas Fuellkrug,Germany,FW,0,0,0,0,Werder Bremen,Unknown,Unknown
Karim Adeyemi Borussia Dortmund),Germany,FW,0,0,0,0,Werder Bremen,Unknown,Unknown
Eiji Kawashima,Japan,GK,0,0,0,0,Strasbourg,Unknown,Unknown
Daniel Schmidt,Japan,GK,0,0,0,0,Sint Truiden,Unknown,Unknown
Shuichi Gonda,Japan,GK,0,0,0,0,Shimizu S-Pulse,Unknown,Unknown
Hiroki Sakai,Japan,DF,0,0,0,0,Urawa Red Diamonds,Unknown,Unknown
Miki Yamane,Japan,DF,0,0,0,0,Kawasaki Frontale,Unknown,Unknown
Ko Itakura,Japan,DF,0,0,0,0,Borussia Monchengladbach,Unknown,Unknown
Takehiro Tomiyasu,Japan,DF,0,0,0,0,Arsenal,Unknown,Unknown
Maya Yoshida,Japan,DF,0,0,0,0,Schalke 04,Unknown,Unknown
Shogo Taniguchi,Japan,DF,0,0,0,0,Kawasaki Frontale,Unknown,Unknown
Hiroki Ito,Japan,DF,0,0,0,0,VfB Stuttgart,Unknown,Unknown
Yuto Nagatomo,Japan,DF,0,0,0,0,FC Tokyo,Unknown,Unknown
Junya Ito,Japan,MF,0,0,0,0,Stade de Reims,Unknown,Unknown
Ritsu Doan,Japan,MF,0,0,0,0,SC Freiburg,Unknown,Unknown
Wataru Endo,Japan,MF,0,0,0,0,VfB Stuttgart,Unknown,Unknown
Hidemasa Morita,Japan,MF,0,0,0,0,Sporting,Unknown,Unknown
Ao Tanaka,Japan,MF,0,0,0,0,Fortuna Dusseldorf,Unknown,Unknown
Daichi Kamada,Japan,MF,0,0,0,0,Eintracht Frankfurt,Unknown,Unknown
Takefusa Kubo,Japan,MF,0,0,0,0,Real Sociedad,Unknown,Unknown
Takumi Minamino,Japan,MF,0,0,0,0,AS Monaco,Unknown,Unknown
Kaoru Mitoma,Japan,MF,0,0,0,0,Brighton & Hove Albion,Unknown,Unknown
Gaku Shibasaki,Japan,MF,0,0,0,0,Leganes,Unknown,Unknown
Yuki Soma,Japan,MF,0,0,0,0,Nagoya Grampus,Unknown,Unknown
Takuma Asano,Japan,FW,0,0,0,0,Vfl Bochum,Unknown,Unknown
Daizen Maeda,Japan,FW,0,0,0,0,Celtic,Unknown,Unknown
Ayase Ueda,Japan,FW,0,0,0,0,Cercle Brugge,Unknown,Unknown
Shuto Machino,Japan,FW,0,0,0,0,Shonan Bellmare,Unknown,Unknown
Thibaut Courtois,Belgium,GK,0,0,0,0,Real Madrid,Unknown,Unknown
Simon Mignolet,Belgium,GK,0,0,0,0,Club Brugge,Unknown,Unknown
Koen Casteels,Belgium,GK,0,0,0,0,VfL Wolfsburg,Unknown,Unknown
Jan Vertonghen,Belgium,DF,0,0,0,0,Anderlecht,Unknown,Unknown
Toby Alderweireld,Belgium,DF,0,0,0,0,Royal Antwerp,Unknown,Unknown
Wout Faes,Belgium,DF,0,0,0,0,Leicester,Unknown,Unknown
Arthur Theate,Belgium,DF,0,0,0,0,Rennes,Unknown,Unknown
Zeno Debast,Belgium,DF,0,0,0,0,Anderlecht,Unknown,Unknown
Thomas Meunier,Belgium,DF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Timothy Castagne,Belgium,DF,0,0,0,0,Leicester,Unknown,Unknown
Kevin De Bruyne,Belgium,MF,0,0,0,0,Man City,Unknown,Unknown
Youri Tielemans,Belgium,MF,0,0,0,0,Leicester,Unknown,Unknown
Amadou Onana,Belgium,MF,0,0,0,0,Everton,Unknown,Unknown
Axel Witsel,Belgium,MF,0,0,0,0,Atletico Madrid,Unknown,Unknown
Hans Vanaken,Belgium,MF,0,0,0,0,Club Brugge,Unknown,Unknown
Leander Dendoncker,Belgium,MF,0,0,0,0,Aston Villa,Unknown,Unknown
Yannick Carrasco,Belgium,MF,0,0,0,0,Atletico Madrid,Unknown,Unknown
Thorgan Hazard,Belgium,MF,0,0,0,0,Borussia Dortmund,Unknown,Unknown
Eden Hazard,Belgium,FW,0,0,0,0,Real Madrid,Unknown,Unknown
Charles De Ketelaere,Belgium,FW,0,0,0,0,AC Milan,Unknown,Unknown
Leandro Trossard,Belgium,FW,0,0,0,0,Brighton,Unknown,Unknown
Dries Mertens,Belgium,FW,0,0,0,0,Galatasaray,Unknown,Unknown
Jeremy Doku,Belgium,FW,0,0,0,0,Rennes,Unknown,Unknown
Romelu Lukaku,Belgium,FW,0,0,0,0,Inter Milan,Unknown,Unknown
Michy Batshuayi,Belgium,FW,0,0,0,0,Fenerbahce,Unknown,Unknown
Lois Openda,Belgium,FW,0,0,0,0,Lens,Unknown,Unknown
Milan Borjan,Canada,GK,0,0,0,0,Red Star Belgrade,Unknown,Unknown
Dayne St Clair,Canada,GK,0,0,0,0,Minnesota United,Unknown,Unknown
James Pantemis,Canada,GK,0,0,0,0,CF Montreal,Unknown,Unknown
Steven Vitoria,Canada,DF,0,0,0,0,Chaves,Unknown,Unknown
Alistair Johnston,Canada,DF,0,0,0,0,CF Montreal,Unknown,Unknown
Richie Laryea,Canada,DF,0,0,0,0,Nottingham Forest/Toronto FC on loan,Unknown,Unknown
